date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:40	1308/1308	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jan%202016%2002:46:56%20GMT	http://jiba.niu.bi/robots.txt		(from )
10:38:41	8435/8435	---M--	200	added ('OK')	text/html	etag:%22868bde8b8013d01:1666%22	http://jiba.niu.bi/	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/index.html	(from )
10:38:41	2088/2088	---M--	200	added ('OK')	text/css	etag:%229435b1efd079cc1:1666%22	http://jiba.niu.bi/theme.css	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/theme.css	(from http://jiba.niu.bi/)
10:38:42	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2010%20Jan%202016%2002:38:34%20GMT	http://weibo.com/yangweizaoxie	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/weibo.com/yangweizaoxie.1.delayed	(from http://jiba.niu.bi/)
10:38:42	1796/1796	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2010%20Jan%202016%2002:38:35%20GMT	http://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=http%3A%2F%2Fweibo.com%2Fyangweizaoxie&domain=.weibo.com&sudaref=http%3A%2F%2Fjiba.niu.bi%2F&ua=php-sso_sdk_client-0.6.16&_rand=1452393514.8415	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/passport.weibo.com/visitor/visitor40bd.html	(from http://jiba.niu.bi/)
10:38:42	8435/8435	---M--	200	added ('OK')	text/html	etag:%22868bde8b8013d01:1666%22	http://jiba.niu.bi/index.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/index-2.html	(from http://jiba.niu.bi/)
10:38:43	21278/21278	---M--	200	added ('OK')	text/html	etag:%2286f25461117ccc1:1666%22	http://jiba.niu.bi/chapters/0001.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0001.html	(from http://jiba.niu.bi/)
10:38:43	9968/9968	---M--	200	added ('OK')	text/html	etag:%22c68e5561117ccc1:1666%22	http://jiba.niu.bi/chapters/0002.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0002.html	(from http://jiba.niu.bi/)
10:38:44	5585/5585	---M--	200	added ('OK')	text/html	etag:%2262b5661117ccc1:1666%22	http://jiba.niu.bi/chapters/0003.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0003.html	(from http://jiba.niu.bi/)
10:38:44	3556/3556	---M--	200	added ('OK')	text/html	etag:%2246c75661117ccc1:1666%22	http://jiba.niu.bi/chapters/0004.html	E:/%e7%bd%91%e9%a1%b5%e4%bf%9d%e5%ad%98/%e9%94%bb%e7%82%bc/jiba.niu.bi/chapters/0004.html	(from http://jiba.niu.bi/)
